ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,BRANCH,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,STAGE
840043,MALE,A5,3215,KE,"NORMAL CLIENT","PERSONAL BANKING","MOI AVENUE BRANCH, MOMBASA",NO,PTP,"2021-02-15 14:17",CALL,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
840216,MALE,A5,3430,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA ROAD MALL BRANCH",NO,PTP,"2021-01-08 13:28",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CLOSE,"e0Y e1M e0W o5D e0F",KES,,NULL
840226,FEMALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-01-08 12:12",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
840319,MALE,B9,3220,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
840350,FEMALE,B9,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA BRANCH, THIKA",NO,NONE,"2020-11-12 15:26:46",NONE,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
840928,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","KISUMU BRANCH",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
841038,MALE,B9,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",B9,"GOLD BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
841089,FEMALE,B11,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","KITENGELA BRANCH",NO,PTP,"2021-03-09 15:07",CALL,1,HP,"PERSONAL BANKING",B11,"CREDIT COLLECTIONS",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
841218,MALE,A5,1860,KE,"NORMAL CLIENT","PERSONAL BANKING","ABC BRANCH",NO,PTP,"2021-02-18 09:38",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
841260,FEMALE,A5,3805,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA BRANCH, THIKA",NO,RESTRUCTURE,"2020-11-20 15:31",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
841355,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,RESTRUCTURE,"2020-11-20 12:27",CALL,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",COLLECTION
841378,MALE,B9,3025,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-04-07 14:11",EMAIL,NULL,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
841634,MALE,A5,3025,KE,"NORMAL CLIENT","PERSONAL BANKING","ELDORET BRANCH, ELDORET",NO,PTP,"2021-01-08 11:11",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
841687,MALE,A5,1250,KE,"NORMAL CLIENT","PERSONAL BANKING","KISUMU BRANCH",NO,PTP,"2021-02-16 15:13:56",CALL,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
