ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,LOAN_BRANCH_CODE,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,LOAN_STAGE
176766,,,,,Active,,9,NO,Unreachable: Out of Service,2022-02-11 10:54:45,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
182847,,,,,Active,,9,NO,Unreachable: Out of reach,2022-02-11 10:57:29,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
221178,,,,,Active,,27,NO,Unreachable: Ringing no answer,2022-02-11 11:12:47,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
213474,,,,,Active,,4,NO,Language Barrier,2022-02-11 11:24:15,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
273128,,,,,Active,,3,NO,Unreachable: Ringing no answer,2022-02-11 11:33:50,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
202044,,,,,Active,,4,YES,PTP,2022-02-11 11:39:16,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
171067,,,,,Active,,8,YES,PTP,2022-02-16 09:39:37,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
124878,,,,,Active,,5,YES,PTP,2022-02-17 02:26:49,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,78,
211703,,,,,Active,,5,NO,Unreachable: Out of Service,2022-02-17 10:25:56,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,79,
170271,,,,,Active,,16,NO,Invalid Contact: Wrong Number,2022-02-17 10:38:53,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,89,COLLECTION
64893,,,,,Active,,32,NO,Unreachable: Ringing no answer,2022-02-17 10:44:21,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,95,
185553,,,,,Active,,4,NO,Invalid Contact: Wrong Number,2022-02-17 10:44:37,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,79,COLLECTION
175142,,,,,Active,,9,YES,PTP,2022-02-17 10:48:15,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,95,
137213,,,,,Active,,9,NO,Unreachable: Out of reach,2022-02-17 10:55:04,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,74,COLLECTION
114012,,,,,Active,,6,NO,Unreachable: Ringing no answer,2022-02-17 11:04:56,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,79,COLLECTION
168494,,,,,Active,,10,YES,PTP,2022-02-17 11:13:33,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,74,COLLECTION
185902,,,,,Active,,6,NO,Unreachable: Ringing no answer,2022-02-17 11:19:01,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,32,
138428,,,,,Active,,41,NO,Unreachable: Ringing no answer,2022-02-17 11:23:30,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,74,COLLECTION
218106,,,,,Active,,4,NO,Unwilling to Pay,2022-02-17 11:34:22,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,52,COLLECTION
